"SP500","Dividend","Earnings","Consumer.Price.Index","Long.Interest.Rate","Real.Price","Real.Dividend","Real.Earnings","PE10","date","dateNumeric","dateNumeric2","dateNumeric3","residualsLinear","residualsQuad","residualsCube","discrRes1","discrRes2","discrRes3","discrRes4","discrRes5","discrRes6","discrRes7","year"
17.21,1.16,2.35,23.5,2.34,182.96,12.33,25.02,10.91,1950-01-02,28855,832611025,24024991126375,-289.431659866525,35.1649289628742,15.8324430136099,"80","110","140","150","175","0","0","1950"
17.35,1.17,2.37,23.6,2.36,183.67,12.39,25.09,10.91,1950-01-03,28856,832668736,24027489046016,-289.314365451017,35.2763972296798,15.9321796423785,"80","110","140","150","175","0","0","1950"
17.84,1.18,2.43,23.6,2.38,188.86,12.49,25.69,11.18,1950-01-04,28857,832726449,24029987138793,-288.847071035509,35.7378627550149,16.3819316397369,"80","110","140","150","175","0","0","1950"
18.44,1.19,2.48,23.7,2.4,194.39,12.54,26.18,11.46,1950-01-05,28858,832784164,24032485404712,-288.269776620002,36.3093255388794,16.9416989984427,"80","110","140","150","175","0","0","1950"
18.74,1.2,2.54,23.8,2.42,196.72,12.6,26.66,11.55,1950-01-06,28859,832841881,24034983843779,-287.992482204494,36.5807855812733,17.2014817160053,"80","110","140","150","175","0","0","1950"
17.38,1.24,2.6,24.1,2.44,180.17,12.89,26.95,10.54,1950-01-07,28860,832899600,24037482456000,-289.375187788986,35.1922428821966,15.8012797896129,"80","110","140","150","175","0","0","1950"
18.43,1.29,2.66,24.3,2.47,189.48,13.23,27.35,11.04,1950-01-08,28861,832957321,24039981241381,-288.347893373478,36.2136974416494,16.8110932164812,"80","110","140","150","175","0","0","1950"
19.08,1.33,2.72,24.4,2.49,195.36,13.62,27.85,11.34,1950-01-09,28862,833015044,24042480199928,-287.720598957971,36.8351492596315,17.4209219938458,"80","110","140","150","175","0","0","1950"
19.87,1.38,2.76,24.6,2.51,201.8,13.98,28.03,11.66,1950-01-10,28863,833072769,24044979331647,-286.953304542463,37.596598336143,18.1707661189304,"80","110","140","150","175","0","0","1950"
19.83,1.42,2.8,24.7,2.53,200.58,14.4,28.32,11.54,1950-01-11,28864,833130496,24047478636544,-287.016010126955,37.528044671184,18.0906255889537,"80","110","140","150","175","0","0","1950"
19.75,1.47,2.84,25,2.55,197.37,14.69,28.38,11.31,1950-01-12,28865,833188225,24049978114625,-287.118715711447,37.4194882647543,17.970500401138,"80","110","140","150","175","0","0","1950"
